Matematika,,,,,,,,
#,##,,,,,,,
#,##,,,,,,,B
#,##,,,,,,,D
#,##,,,,,,,A
#,##,"Jika jumlah kuadrat akar-akar dari persamaan x² - 5x + k = 0 sama dengan jumlah pangkat tiga akar-akar persamaan x² + x -k = 0, maka nilai k = ...",-32,-26,-18,16,10,B
#,##,"Persamaan kuadrat ax² - 20x + 12a² = 0 mempunyai akar-akar yang berbanding 2 : 3, maka nilai a = ....",12,8,5,2,- 4,D
#,##,"Jika jumlah kebalikan dari akar - akar persamaan x²-10x+m-2=0 sama dengan jumlah kuadrat akar - akar persamaan x²-4x+m=0, maka nilai m adalah . . . . ",- 3,5,7,- 3 atau - 7,3 atau 7,E
#,##,"Semua parabola y=mx²-4x+m selalu di bawah sumbu -x, apabila . . . .",m<-2,m<0,#NAME?,0<m<2,m<-2 atau m>2,A
#,##,"Jika x_1 dan x_2 akar - akar persamaan 2x²+kx+k=4, maka nilai minimum dari x_1+x_2 adalah . . .",3,4,5,6,7,A
#,##,Umur ayah empat kali umur Ahmad. Empat tahun yang lalu umur ayah sama dengan lima kali umur Ahmad ditambah delapan tahun. Jumlah umur ayah dan Ahmad sekarang adalah . . . .,38 tahun,39 tahun,40 tahun,41 tahun,42 tahun,C
#,##,,,,,,,B
#,##,,,,,,,B
#,##,Solusi pertaksamaan (x²+1)²-12(x²+1)+20?0 adalah . . . .,-4?x?-2 atau 2?x?4,-3?x?-2 atau 2?x?3,-3?x?-1 atau 1?x?3,-1?x?1,1?x?4,C
#,##,Nilai - nilai x yang memenuhi pertaksamaan |x²-2|-2x-1?0 adalah . . . .,-1?x?3,-1+?2?x?3,-1-?2?x?-1+?2,-2?x?-1+?2 atau ?2?x?3,-1-?2?x?-?2 atau -1+?2?x??2,B
#,##,Ingkaran dari pernyataan : “Semua peserta ujian berdoa sebelum mengerjakan soal “ adalah . . . .,Semua peserta ujian tidak berdoa sebelum mengerjakan soal.,Beberapa peserta ujian berdoa sebelum mengerjakan soal.,Beberapa peserta ujian tidak berdoa sebelum mengerjakan soal.,Semua peserta ujian tidak berdoa sesudah mengerjakan soal.,Beberapa peserta ujian berdoa sesudah mengerjakan soal.,C
#,##,"Ingkaran dari pernyataan “ Jika Fathin mendapat nilai 10, maka ia diberi hadiah “ adalah . . . .","Jika Fathin tidak mendapat nilai 10, maka ia tidak diberi hadiah.","Jika Fathin diberi hadiah, maka ia mendapat nilai 10.","Fathin mendapat nilai 10, tetapi ia tidak diberi hadiah.",Fathin mendapat nilai 10 dan ia diberi hadiah.,"Jika Fathin tidak diberi hadiah, maka ia tidak mendapat nilai 10.",C
