TES POTENSI AKADEMIK,,,,,,,,,,,
#,SINONIM,,,,,,,,,,
#,##,EVAPORASI ,Penguapan ,Penggabungan ,Penyubliman ,Penyerapan,A,,,,
#,##,GETIR,manis,sakit,pedas,pahit,D,,,,
#,##,ENDEMI,menular,kuman,wabah,penyakit ,C,,,,
#,##,EMBOSUR,Mulut sungai,Ambeien,Sasaran panah,Proses cetak,A,,,,
#,##,AFWAH,Noktah,Kata sepakat ,Tuah ,Bersih,C,,,,
#,##,ARBITRASI,Meleraikan sengketa,Kesewenang-wenangan,Birokrasi,Perwakilan,A,,,,
#,##,ANARKI,Perang,Hancur,Kekacauan,Keributan,C,,,,
#,##,KAPASITAS,Kualitas,beban,bobot,massa ,C,,,,
#,##,NISBI,Relatif,konsumtif,sama ,Inti ,A,,,,
#,##,GIOSITIS,pembengkakan gusi,radang lidah,amandel,radang tenggorokan ,B,,,,
#,ANTONIM,,,,,,,,,,
#,##,BERUBAH ,fluktuaktif,variable,konstan,trend,C,,,,
#,##,ALPA,Paham,Ingat,Lalai,Abai ,B,,,,
#,##,DETERIORASI,Bagian dalam,Kemunduran,Kemajuan,Peremehan,C,,,,
#,##,INDUKSI,Perusahaan,Konklusi,Koduksi ,Deduksi,D,,,,
#,##,PROLOG,Dialog,Monolog,Epilog,Analog ,C,,,,
#,##,SUMBANG,Janggal,Singkron,Palsu,Sama ,B,,,,
#,##,SEKULER,keagamaan,duniawi,rohaniah,cendikia,A,,,,
#,##,OUTPUT,pemasukan,pengeluaran,pelaksanaan,rencana,A,,,,
#,##,TERKATUNG,Melayang,Pasti,Terperosok,Terbenam,D,,,,
#,##,INTEGRASI,menghancurkan,membangun,menyatu,memisah,D,,,,
#,ANALOGI,,,,,,,,,,
#,##,BANGSA : ETHNOLOGI,Demonstrasi : Demografi,Bumi : Geografi,Penyakit : Patologi,Alam : Biologi,C,,,,
#,##,SIMILE : PERUMPAMAAN,Hiperbola : pengasaran,Hipernim : penggenarilsasian,Personifikasi : penginsanan,Aliterasi : pelafalan,C,,,,
#,##,Mata :: telinga = lidah ::,tangan,hidung ,paha ,siku ,B,,,,
#,##,Belajar :: kelas =,kuda :: rintangan,ikan :: berenang,balap motor :: sirkuit,jalan :: hambatan,C,,,,
#,##,Sarjana :: tesis :: doctor ,mahasiswa :: skripsi :: sarjana ,petani :: bajak :: panen,pewara :: atesis :: panitera,akuntan :: jurnal :: CPA,A,,,,
#,##,ALLEGRO : ADAGIO,Irama : Not ,Drama : Pantomim,Rajin : Malas,Bunga : Indah,C,,,,
#,##,RAKSASA : BESAR,Konduksi : Panas,Liliput : Kecil,Dehidrasi : Kurang,Reformasi : Berubah ,B,,,,
#,##,ROTI : TEPUNG,Gula : Teh,Meja : Kursi,Bubur : Beras,Air : Kopi,A,,,,
#,##,Vila : Gunung,Hotel : Bukit,Kapal : Laut,Resor : Pantai,Danau : Gunung,C,,,,
#,##,Marah : Mirah,Parah : Perih,Lesung : Lumpang,Kisi : Kasih,Gambus : Gembus,D,,,,
#,KOSAKATA,,,,,,,,,,
#,##,AFIRMASI,Pernyataan keadaan sebenarnya,penetapan yang positif,Pertanyaan hasil,Kegiatan informasi,B,,,,
#,##,KONVERGENSI,keadaan menuju satu titik pertemuan,Perubahan bentuk,pergesekan,penggunaan,A,,,,
#,##,RESES,Krisis,Masa istirahat dari kegiatan sidang,Kelesuan,Orang suci,B,,,,
#,Bacaan untuk 4 nomer selanjutnya,"Dewasa ini, kehadiran istilah-istilah baru dalam bidang informatika belum mendapat perhatian yang cukup responsif dan proaktif. Ini terbukti dengan belum hadirnya buku yang berisikan penetapan penggunaan istilah-istilah tersebut secara baku sehingga masih terjadi kesimpangsiuran di sana-sini. Walaupun pada hekekatnya bahasa bersifat arbitrer, kehadiran sebuah ketetapan bagi penggunaan istilah-istilah itu tentunya sangat diharapkan oleh seluruh lapisan masyarakat yang mengharapkan penggunaan bahasa Indonesia yang baik dan benar. Ambil saja contoh, sampai hari ini belum ada padanan yang baku dan pasti untuk kata-kata seperti backup, booting, browsing, catridger, CD-ROM, mouse, hacker, paste, password, dan masih banyak lagi istilah sejenis. Tampaknya sudah ada usaha penciptaan padanan kata yang dilakukan oleh Microsof Indonesia. Namun, walau patut diacungi jempol usaha ini terkesan terlambat jika dibandingkan dengan perkembangan teknologi yang selalu meluncur ibarat anak panah.",,,,,,,,,
#,##,Kalimat yang tidak sesuai dengan paragraph di atas adalah:,Kehadiran istilah informatika dirasa belum mendapat perhatian yang responsif dan proaktif.,Belum ada padanan kata mouse sebagai salah satu istilah bidang informatika.,Istilah paste masih digunakan sebagai istilah Indonesia karena belum ada padanannya.,Penciptaan padanan kata untuk istilah-istilah informatika hanya dapat dilakukan oleh Microsof Indonesia.,D,,,,
#,##,Apa pengertian kata arbitrer dalam paragraph di atas?,Sewenang-wenang,Bahasa baku,Bahasa gaul,Kaidah bahasa ,A,,,,
#,##,Mengapa usaha Microsof Indonesia untuk menciptakan padanan kata informatika terkesan terlambat?,Terlalu lama mencari padanan kata,Kemajuan teknologi lebih cepat,Sulit menemukan padanan kata,Proses penciptaan dilakukan setelah ada undang-undang,B,,,,
