TES POTENSI AKADEMIK,,,,,,,,,,,,,,
#,SINONIM,,,,,,,,,,,,,
#,##,KONDUKTOR,Penghambat,Penyalur,Pembuat,Pesakitan,,,,,,,,
#,##,RUWAT,Terbebas dari nasib baik,Terbebas dari nasib sial,Terbebas dari penyakit,Terbebas dari nasib buruk,,,,,,,,
#,##,OBSOLET,Merdeka,Usang,Bersih,Baru,,,,,,,,
#,##,ASTANA,Balai,Istana,Pendopo,Kerajaan,,,,,,,,
#,##,PANGUS,Pantas,Arang,Beringus,Gejolak,,,,,,,,
#,##,DEPRESIASI,Penurunan jumlah penjualan,Penyusutan nilai,Pengurangan tenaga kerja,Pemotongan harga standar,,,,,,,,
#,##,BEA,Tagihan,Langganan,Uang,Pajak,,,,,,,,
#,##,ETIMOLOGI,kalimat,ilmu tentang kalimat,ilmu tentang asal-usul kata,dasar-dasar bahasa,,,,,,,,
#,##,ESKALASI,Kenaikan,Kemajuan,Perkembangan,Kemunduran,,,,,,,,
#,##,ACUAN,pegangan,pedoman,pemacu,rujukan,,,,,,,,
#,ANTONIM,,,,,,,,,,,,,
#,##,BONGSOR,Menumpuk,Kerdil,Tertua,Macet,,,,,,,,
#,##,SEKULER,Rohaniyah,Duniawi,Agamis,Cendikia,,,,,,,,
#,##,SANTUNG,buntung,erat,liar,kendur,,,,,,,,
#,##,KETUL,ambisius,tumpul,licik,tajam,,,,,,,,
#,##,HIPOKRIT,orang yang malas,orang yang munafik,orang yang banyak akal,orang yang jujur apa adanya,,,,,,,,
#,##,BANGLAS,sempit,luas,nakal,patuh,,,,,,,,
#,##,SUMIR,sederhana,ringkas,pendek,panjang,,,,,,,,
#,##,TAKDIS,penistaan,penyelewengan,pemurnian,pengudusan,,,,,,,,
#,##,LASUH,lelah,mudah,sulit,duka,,,,,,,,
#,##,DELUSI,angan-angan,nyata,penyerapan,perekatan,,,,,,,,
#,ANALOGI,,,,,,,,,,,,,
#,##,Minyak Tanah : Kompor,Gerakan : Senam,Syaraf : Badan,Mobil : Sopir,Tukang Cukur : Pangkas Rambut,,,,,,,,
#,##,Minum : Haus = Lampu :,Terang,Gelap,Padang,Pijar,,,,,,,,
#,##,KAKI : SEPATU : KULIT,Mata : Kacamata : Retina,Kepala : Topi : Kain,Penyakit : Rumah sakit : Gedung,Pernafasan : Sapu tangan : Debu,,,,,,,,
#,##,SEGIEMPAT : KUBUS,Bulatan : Rumah,Bulatan : Tabung,Bulatan : Pulau,Bulatan : Bola,,,,,,,,
#,##,KAPAL SELAM : IKAN,Bus : Penumpang,Sepeda : Kumbang,Pesawat Terbang : Burung,Apollo : Astronot,,,,,,,,
#,##,Sepeda :: kayuh = kapal ::,Gas,Setir,Laut,Dayung,,,,,,,,
#,##,Kartun :: konohakagure :: naruto = kartun:: bikinibottom ::,Spongebob,Minkymomo,Hunter x hunter,prettygure,,,,,,,,
#,##,PISAU : SAYAT,pistol : tembak,benang : halus,palu : tumpul,jarum : tajam,,,,,,,,
#,##,KALENDER : TANGGAL,album : foto,buku : baca,tanaman : hias,pensil : tulis,,,,,,,,
#,##,Cabe :: kepedasan =,Tape :: kemanisan,Minum :: kehausan,Marah :: kejengkelan,Makotadewa :: kepahitan,,,,,,,,
#,KOSAKATA,,,,,,,,,,,,,
#,##,KONTRAPRESTASI,Lemah,Imbal jasa,Tidak berprestasi,Musuh,,,,,,,,
#,##,KULMINASI,Kotak pendingin,Tingkatan tertinggi,Keadaan emosi seseorang,Panas terik matahari,,,,,,,,
#,##,DURJA,Kejahatan,Muka,Setan,Tubuh,,,,,,,,
#,Bacaan Untuk 4 Nomer Selanjutnya,"Tidak ada langit seperti yang kita temui sehari-hari ketika berada di bumi ini. Yang ada di bulan hanya warna hitam pekat di atas kepala kita. Warna hitam itu bercahaya benderang jika ada matahari. Sesuatu tanda kehidupan apa pun tak tampak di bulan. Tempat kami mendarat dikelilingi tiga gunung yang tingginya 5.000 meter. Tidak ada bunyi apa pun di sana, semuanya tampak tegap berdiri, tidak ada benda apa pun yang bergerak. Bintang tak nampak satu pun, tak ada pula sesuatu tumbuh di sana. “Pemandangan yang benar-benar tidak pernah kita temukan di bumi.” kata James. “Kami memang dilatih untuk tidak berubah oleh suasana apa pun, karena itu pula, pemandangan yang kami temukan di bulan sama sekali tidak membuat kami takut atau was-was.” berucap James. Menurut James, seluruh awak Apollo 15 di bulan selalu sibuk. Tidak ada waktu untuk berbicara rileks. Tetapi suatu komentar bersama seluruh awak Apollo 15 yaitu Tuhan telah memimpin kami sehingga kami tiba di bulan.",,,,,,,,,,,,
#,##,Pokok permasalahan yang diungkapkan dalam bacaan di atas adalah....,Tuhan memimpin umat-Nya untuk terbang ke Apollo 15,Perbedaan antara siang dan malam sangat nyata,Di bulan tidak ada tanda-tanda kehidupan,Langit gelap gulita tanpa matahari dan bintang.,,,,,,,,
#,##,"Dari bacaan di atas dapat disimpulkan semua hal berikut ini, kecuali....",Para awak pesawat tidak menjumpai tumbuhan apapun di bulan,Pesawat Apollo 15 mendarat di ketinggian 5.000 meter dari permukaan bulan,Para awak dilatih untuk menghadapi keadaan apa pun dan bagaimana pun.,"Selama di bulan, para awak pesawat tidak berkesempatan bersantai-santai.",,,,,,,,
#,##,Bacaan di atas merupakan suatu deskripsi karena....,Menjelaskan kepekatan dan kegelapan di bulan.,Mengajak pembaca untuk  selalu bersyukur kepada Tuhan yang telah memimpin manusia.,Menceritakan peristiwa pendaratan secara kronologis,Menggambarkan keadaan bulan,,,,,,,,
#,##,Pengulangan kata was-was pada kalimat terakhir alinea kedua adalah....,untuk menyatakan saling.,untuk mengeraskan arti.,untuk menyatakan menyerupai,Tidak mengandung makna,,,,,,,,
